employed,log_bank_balance,log_annual_salary,balance_to_salary,employed_x_log_salary,DEFAULT,PD,pred_fixed_0_5,pred_topK,risk_band
1,9.07742136323494,13.18503871389087,0.0164450675054095,13.18503871389087,0,0.035086713552962445,0,0,Standard
0,9.190868010136365,11.88638074820012,0.0675013402301148,0.0,0,0.022644750454521353,0,0,Standard
1,9.46371046371022,12.8510969742183,0.0337943547955528,12.8510969742183,0,0.2497493182762839,0,0,Standard
1,8.756525002926972,12.967940713926204,0.014823065670452,12.967940713926204,0,0.004118997731140158,0,0,Standard
1,9.151536840966855,13.04237383498416,0.0204261182679683,13.04237383498416,0,0.04905965750075801,0,0,Standard
0,9.308925184314164,11.406450105883115,0.1227501348183822,0.0,0,0.05652844624726294,0,0,Standard
1,9.201008969547296,12.607743096357916,0.0331460500465163,12.607743096357916,0,0.050208821468241925,0,0,Standard
0,9.180400617181428,12.260591133385418,0.0459459843356277,0.0,0,0.02464601165673401,0,0,Standard
1,9.542067080655851,13.01616553350726,0.0309876047979464,13.01616553350726,0,0.3779618549997837,0,0,Review
1,0.0,12.769407907637389,0.0,12.769407907637389,0,5.746081647222129e-26,0,0,Standard
0,0.0,12.477830497931762,0.0,0.0,0,2.828000632930439e-26,0,0,Standard
0,9.592056355602391,11.978065536268645,0.0919903893112741,0.0,0,0.29618836887738414,0,0,Standard
1,7.953529220634246,12.73381851121383,0.0083906455186767,12.73381851121383,0,2.4192771709584623e-05,0,0,Standard
1,8.89314434961031,13.19920537441795,0.0134847412664997,13.19920537441795,0,0.011613780828912713,0,0,Standard
1,9.499768918453974,12.56277822899951,0.0467434713821866,12.56277822899951,0,0.2703347820841649,0,0,Standard
1,8.14199343200338,13.200268269269484,0.0063546777359381,13.200268269269484,0,0.00011952016228114734,0,0,Standard
1,0.0,13.309978763790047,0.0,13.309978763790047,0,1.0337868290090479e-25,0,0,Standard
0,8.753289295076545,12.262639540012591,0.0299117627380427,0.0,0,0.0015391737068281832,0,0,Standard
1,8.67116328350994,13.512774839134734,0.0078929787832949,13.512774839134734,0,0.004011059608995592,0,0,Standard
1,9.483556312676654,12.668474202105054,0.0413786249798315,12.668474202105054,0,0.2573480154943275,0,0,Standard
1,7.918774203156921,13.314640479559309,0.004533647206802,13.314640479559309,0,3.4771110024394593e-05,0,0,Standard
1,9.345930144682145,12.872596345573488,0.029400283632355,12.872596345573488,0,0.1360916294151239,0,0,Standard
1,9.447191148565816,13.330702782097443,0.020576843782323,13.330702782097443,0,0.291733932504387,0,0,Standard
1,8.949593598664286,12.809279254103688,0.0210719455394684,12.809279254103688,0,0.011999877899214327,0,0,Standard
1,9.135565100304577,12.929362729555985,0.0225075836942641,12.929362729555985,0,0.04111676575203052,0,0,Standard
1,9.236117274560415,12.619958730807625,0.0339137205375519,12.619958730807625,0,0.06265581108076705,0,0,Standard
1,8.951180966457603,13.11771884825782,0.0155038722307323,13.11771884825782,0,0.015450452183019558,0,0,Standard
1,9.767628882472517,12.864292092897829,0.0451973013216589,12.864292092897829,0,0.7122414897056428,1,1,High
1,8.90780181984772,13.065830443205318,0.0156362734115544,13.065830443205318,0,0.011347849529179842,0,0,Standard
0,9.505681042355237,12.199419764110072,0.0676229322538501,0.0,0,0.1859894515264129,0,0,Standard
1,8.689269107090572,13.388747796364983,0.0090985014557381,13.388747796364983,0,0.003980281282238886,0,0,Standard
0,8.59184787124094,12.15264359836126,0.0284110796121642,0.0,0,0.00049764477623757,0,0,Standard
0,8.856490006585519,12.503062317575155,0.0260767527688437,0.0,0,0.0036646101928955645,0,0,Standard
1,9.302379754003134,13.240835526678485,0.019476528458406,13.240835526678485,0,0.13412224603720715,0,0,Standard
0,9.746148127393466,12.512140459616615,0.0629101870640778,0.0,0,0.5725425306889805,1,0,Review
0,9.797995917171376,11.972176491628874,0.1136956859593727,0.0,0,0.6677942813961868,1,0,Review
1,9.02465636848902,13.25982758635856,0.0144756133095402,13.25982758635856,0,0.02715599071868482,0,0,Standard
1,8.34721118821626,12.950508960469016,0.0100163904571116,12.950508960469016,0,0.00032796145514583263,0,0,Standard
1,9.095216796817702,13.026686578403398,0.0196126642091524,13.026686578403398,0,0.03455724548836293,0,0,Standard
1,8.966795113953552,13.068701131898075,0.0165390423146961,13.068701131898075,0,0.016329191799721927,0,0,Standard
1,9.255952157112771,13.125262849868482,0.0208707996181639,13.125262849868482,0,0.09577299898816541,0,0,Standard
1,9.215140831311826,13.333697049817095,0.0162663922379199,13.333697049817095,0,0.08827544531651015,0,0,Standard
1,9.53391261748479,13.15194283962663,0.0268335948041671,13.15194283962663,0,0.38575860225447023,0,0,Review
0,7.881454171284743,12.218378615527168,0.0130718102050915,0.0,0,6.1725472298044635e-06,0,0,Standard
0,9.91757584485911,12.339868303233605,0.0887140160093887,0.0,0,0.8171281813538923,1,1,High
1,8.49826314331208,13.38547241061656,0.0075409163476115,13.38547241061656,0,0.001243131769801172,0,0,Standard
1,9.60671898934718,13.306019310189184,0.0247392077924879,13.306019310189184,0,0.525689513869598,1,0,Review
1,9.59836901122608,13.014562107750589,0.0328350508574254,13.014562107750589,0,0.4662650202064941,0,0,Review
1,9.195433819321508,13.258570277664129,0.0171932877230475,13.258570277664129,0,0.07452118486151593,0,0,Standard
1,9.23901334509373,12.848613663994149,0.027060102529794,12.848613663994149,0,0.07253223914086285,0,0,Standard
1,8.819434758168908,13.14548597768231,0.0132177175856711,13.14548597768231,0,0.007063595344184093,0,0,Standard
0,9.641904582778425,11.966854842880185,0.0977825776791376,0.0,0,0.3795855652679483,0,0,Review
0,9.802028305911342,12.671963704740662,0.0566996295534835,0.0,0,0.6762126376554309,1,0,Review
0,9.291872431552823,12.21893260070421,0.0535495755910035,0.0,0,0.049831845217339556,0,0,Standard
1,0.0,13.303817825034436,0.0,13.303817825034436,0,1.0268903203269331e-25,0,0,Standard
0,9.650850821827149,11.740641267594338,0.1237060793247912,0.0,0,0.4197909364249204,0,0,Review
0,9.636104716076158,12.158197922216871,0.0802865402735614,0.0,0,0.3653271867111673,0,0,Review
1,9.822281835495968,13.279715646670263,0.0315088653351217,13.279715646670263,0,0.8124762749278911,1,1,High
1,9.679796351289063,13.05988924129028,0.0340422357531868,13.05988924129028,0,0.6031172421246193,1,0,Review
1,8.683717289507483,12.90059408136862,0.0147421634322565,12.90059408136862,0,0.002481697027378341,0,0,Standard
1,9.126497787238897,13.231649043569996,0.0164857614167819,13.231649043569996,0,0.04877715957965511,0,0,Standard
1,9.021907378337367,13.542647157957868,0.0108796717417343,13.542647157957868,0,0.034066540202674855,0,0,Standard
1,0.0,12.873336422289231,0.0,12.873336422289231,0,6.432928167452636e-26,0,0,Standard
1,9.785206142711967,12.999958246303358,0.040163119782478,12.999958246303358,0,0.7462252057527476,1,1,High
1,9.381745898445963,13.206947143462868,0.0218122474183606,13.206947143462868,0,0.19911720882464568,0,0,Standard
1,9.65688856051871,12.91002662175574,0.0386503451655016,12.91002662175574,0,0.5479124594164823,1,0,Review
1,9.436327875422124,13.394468110644551,0.0190971057340314,13.394468110644551,0,0.28783840724528087,0,0,Standard
1,0.0,13.169055647293517,0.0,13.169055647293517,0,8.870310232513926e-26,0,0,Standard
